,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average
61,2024-02-10 05:00:00,2506.27,2507.84,2501.16,2504.56,50.89970000,2024-02-10 05:59:59.999,127468.06882200,593,46.11580000,115486.88484700,0,2504.9575,1.049197957275348
62,2024-02-10 06:00:00,2504.25,2507.45,2503.62,2504.7,60.84370000,2024-02-10 06:59:59.999,152473.45355500,686,43.25630000,108394.32337400,0,2505.005,1.049217852584139
63,2024-02-10 07:00:00,2504.27,2507.4,2494.5,2494.92,117.19880000,2024-02-10 07:59:59.999,293019.87395000,1172,95.48970000,238685.61541200,0,2500.2725,1.047235651555656
64,2024-02-10 08:00:00,2494.99,2498.56,2486.61,2488.04,93.80670000,2024-02-10 08:59:59.999,233962.70592600,989,84.77690000,211442.01741400,0,2492.05,1.0437916688918
65,2024-02-10 09:00:00,2487.52,2494.46,2484.2,2488.6,83.91790000,2024-02-10 09:59:59.999,208829.36854200,922,73.05470000,181786.52396600,0,2488.6949999999997,1.0423864318182532
66,2024-02-10 10:00:00,2487.44,2491.91,2484.64,2484.89,53.33460000,2024-02-10 10:59:59.999,132735.52129700,618,44.36880000,110423.75523400,0,2487.22,1.04176863012422
67,2024-02-10 11:00:00,2484.98,2484.98,2477.37,2482.44,110.72890000,2024-02-10 11:59:59.999,274567.33373800,1201,89.91030000,222947.50816300,0,2482.4425,1.0397675809084617
68,2024-02-10 12:00:00,2481.89,2491.85,2480.77,2485.78,65.69210000,2024-02-10 12:59:59.999,163304.39319200,763,59.60400000,148166.08802900,0,2485.0725,1.0408691527425684
69,2024-02-10 13:00:00,2485.89,2492.61,2481.01,2489.11,81.85670000,2024-02-10 13:59:59.999,203570.33932000,947,67.56750000,168035.67166800,0,2487.155,1.0417414049648221
70,2024-02-10 14:00:00,2489.3,2496.61,2488.41,2491.56,62.67100000,2024-02-10 14:59:59.999,156145.74392700,724,55.48740000,138250.18804100,0,2491.47,1.0435487367002478
71,2024-02-10 15:00:00,2491.59,2496.51,2488.81,2491.62,56.94830000,2024-02-10 15:59:59.999,141978.97160700,664,51.07580000,127335.29892200,0,2492.1324999999997,1.043826223901805
72,2024-02-10 16:00:00,2491.02,2490.96,2490.96,2490.9,80.61670000,2024-02-10 16:59:59.999,201251.88429000,1109,64.86000000,162081.22470100,0,2490.96,1.0433351239111246
73,2024-02-10 17:00:00,2490.82,2492.32,2483.76,2484.33,71.94630000,2024-02-10 17:59:59.999,178926.72853400,842,64.40140000,160168.62554800,0,2487.8075,1.042014703680318
74,2024-02-10 18:00:00,2484.49,2492.92,2483.41,2490.97,49.14760000,2024-02-10 18:59:59.999,122284.54551400,574,44.80920000,111487.88355000,0,2487.9474999999998,1.0420733424851754
75,2024-02-10 19:00:00,2491.32,2497.37,2489.07,2495.52,60.94360000,2024-02-10 19:59:59.999,151988.72112900,704,54.00980000,134693.65967800,0,2493.32,1.0443236066215777
76,2024-02-10 20:00:00,2495.55,2510.87,2493.24,2507.09,86.46070000,2024-02-10 20:59:59.999,216170.75624900,1000,76.48250000,191202.95496200,0,2501.6875,1.0478283223333218
77,2024-02-10 21:00:00,2505.95,2516.31,2505.17,2512.95,122.42850000,2024-02-10 21:59:59.999,307555.05968000,1455,108.19330000,271786.98511000,0,2510.0950000000003,1.051349791989311
78,2024-02-10 22:00:00,2512.26,2512.71,2492.22,2497.14,121.43390000,2024-02-10 22:59:59.999,303653.87708100,1411,88.66300000,221750.54421700,0,2503.5825,1.048622040441927
79,2024-02-10 23:00:00,2495.99,2506.02,2495.26,2501.03,106.26220000,2024-02-10 23:59:59.999,265764.00365900,1234,94.63120000,236669.35181600,0,2499.5750000000003,1.0469435046528845
80,2024-02-11 00:00:00,2501.03,2503.56,2493.81,2501.4,97.06830000,2024-02-11 00:59:59.999,242493.00056600,1117,81.36450000,203247.93580600,0,2499.95,1.047100572880181
81,2024-02-11 01:00:00,2499.52,2510.9,2499.47,2507.96,109.68320000,2024-02-11 01:59:59.999,274801.10153800,1277,94.96390000,237904.69514300,0,2504.4624999999996,1.0489906272153162
82,2024-02-11 02:00:00,2507.65,2512.04,2505.69,2506.25,71.29660000,2024-02-11 02:59:59.999,178852.74961000,812,63.13530000,158374.10602900,0,2507.9075000000003,1.0504335606634145
83,2024-02-11 03:00:00,2505.68,2523.06,2504.57,2522.36,135.61810000,2024-02-11 03:59:59.999,341070.87213500,1544,115.09260000,289425.44744800,0,2513.9175,1.0529508407862207
84,2024-02-11 04:00:00,2521.72,2532.92,2521.72,2523.89,135.01910000,2024-02-11 04:59:59.999,341053.80964600,1471,95.98140000,242431.77039600,0,2525.0624999999995,1.0576189085014747
85,2024-02-11 05:00:00,2523.78,2525.7,2514.77,2523.21,93.39430000,2024-02-11 05:59:59.999,235424.74008300,1047,66.93420000,168706.28239100,0,2521.865,1.0562796400833927
86,2024-02-11 06:00:00,2523.21,2534.05,2522.04,2529.15,67.28480000,2024-02-11 06:59:59.999,170037.77440100,782,58.86730000,148762.13414200,0,2527.1125,1.0584775481440296
87,2024-02-11 07:00:00,2529.99,2532.63,2522.53,2524.18,95.33140000,2024-02-11 07:59:59.999,241011.84304700,1001,79.74290000,201574.94732300,0,2527.3325,1.0585696948373768
88,2024-02-11 08:00:00,2523.59,2539.6,2523.45,2527.02,121.87860000,2024-02-11 08:59:59.999,308643.55690400,1251,73.10340000,185084.99614400,0,2528.415,1.0590230984535063
89,2024-02-11 09:00:00,2525.68,2528.99,2521.32,2523.92,68.99410000,2024-02-11 09:59:59.999,174232.53410500,845,57.90120000,146222.22697300,0,2524.9775,1.0575833063699542
90,2024-02-11 10:00:00,2523.92,2524.18,2512.52,2519.36,74.45590000,2024-02-11 10:59:59.999,187586.25703800,892,62.24150000,156802.56981000,0,2519.9950000000003,1.0554963931899406
91,2024-02-11 11:00:00,2519.41,2528.33,2519.27,2527.47,81.84580000,2024-02-11 11:59:59.999,206616.98497700,940,74.28110000,187519.99745600,0,2523.62,1.0570147193871406
92,2024-02-11 12:00:00,2526.1,2532.22,2523.08,2523.44,82.87250000,2024-02-11 12:59:59.999,209477.73257400,1001,68.50030000,173150.74053100,0,2526.21,1.0580995372770023
93,2024-02-11 13:00:00,2523.09,2524.14,2510.57,2511.61,86.67590000,2024-02-11 13:59:59.999,218189.73432700,1032,74.41000000,187312.49619600,0,2517.3525,1.0543895857482573
94,2024-02-11 14:00:00,2510.7,2617.79,2512.7349999999997,2514.77,134.88100000,2024-02-11 14:59:59.999,338594.49204600,1540,109.44650000,274847.09759600,0,2538.9987499999997,1.063456087388573
95,2024-02-11 15:00:00,2514.84,2514.91,2513.005,2511.17,79.05210000,2024-02-11 15:59:59.999,198246.62854700,952,67.64210000,169684.57843100,0,2513.48125,1.052768118081799
