,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average,ma5,ma15
230,2024/2/17 6:00,2783.67,2789.68,2782.99,1.166904887,69.1074,00:00.0,192579.3972,930,58.1769,162113.0147,0,2785.9825,1.166904887,1.169539026,1.16692726
231,2024/2/17 7:00,2787.09,2798.41,2786.01,1.169581329,74.0474,00:00.0,206868.2121,936,68.0666,190152.7943,0,2792.3725,1.169581329,1.169215884,1.167047191
232,2024/2/17 8:00,2795.82,2796.41,2776.19,1.167263002,113.2621,00:00.0,315450.1066,1499,92.3,257060.528,0,2786.8375,1.167263002,1.169707822,1.167254241
233,2024/2/17 9:00,2779.3,2781.2,2768.08,1.16280017,111.2301,00:00.0,308720.3349,1441,92.9915,258106.2202,0,2776.1825,1.16280017,1.16944646,1.166877068
234,2024/2/17 10:00,2775.81,2779.78,2765.23,1.162364568,132.5397,00:00.0,367302.8906,1750,106.983,296476.4036,0,2775.1425,1.162364568,1.166917871,1.16689466
235,2024/2/17 11:00,2780.19,2785.31,2770.2,1.164270329,81.4133,00:00.0,226445.3813,1049,69.9363,194532.0348,0,2779.6925,1.164270329,1.165782791,1.166970751
236,2024/2/17 12:00,2782.95,2859.48,2783.975,1.173970339,100.7298,00:00.0,280082.065,1289,63.7532,177343.8421,0,2802.85125,1.173970339,1.16525588,1.167230158
237,2024/2/17 13:00,2785.14,2785.37,2742.32,1.158223202,104.8685,00:00.0,289265.5481,1351,81.3199,224291.1855,0,2765.255,1.158223202,1.166133682,1.168020071
238,2024/2/17 14:00,2748.24,2859.48,2721.49,1.158090218,124.8197,00:00.0,342186.467,1609,94.6375,259413.6767,0,2764.9375,1.158090218,1.164325722,1.167371624
239,2024/2/17 15:00,2730.42,2756,2730.42,1.148600156,104.9021,00:00.0,287752.1791,1430,78.2407,214586.6715,0,2742.28,1.148600156,1.163383731,1.166557068
240,2024/2/17 16:00,2752.33,2758.43,2743.12,1.152743615,103.1676,00:00.0,283831.8786,1328,82.3494,226562.3296,0,2752.1725,1.152743615,1.160630849,1.165317555
241,2024/2/17 17:00,2754.21,2768.57,2751.22,1.156162467,106.8806,00:00.0,295256.6812,1414,81.3811,224803.4834,0,2760.335,1.156162467,1.158325506,1.164265757
242,2024/2/17 18:00,2767.15,2771.87,2755.45,1.158238909,60.908,00:00.0,168595.2764,766,48.7716,134998.6652,0,2765.2925,1.158238909,1.154763932,1.163535145
243,2024/2/17 19:00,2766.31,2776.66,2766.31,1.160637865,74.6501,00:00.0,206890.7865,1039,66.7963,185123.1224,0,2771.02,1.160637865,1.154767073,1.162846418
244,2024/2/17 20:00,2774.32,2779.8,2771.59,1.162881846,66.3914,00:00.0,184261.4828,840,60.5126,167945.4539,0,2776.3775,1.162881846,1.155276602,1.161859402
245,2024/2/17 21:00,2779.81,2800.61,2775.01,1.167328971,129.0526,00:00.0,359876.1641,1657,111.5249,310990.5695,0,2786.995,1.167328971,1.15813294,1.161515527
246,2024/2/17 22:00,2791.98,2793.87,2780.01,1.167294416,72.8619,00:00.0,202923.8735,937,57.9498,161397.5985,0,2786.9125,1.167294416,1.161050012,1.161543799
247,2024/2/17 23:00,2780.82,2788.06,2780.58,1.166233682,61.4001,00:00.0,170931.8847,776,53.4911,148915.2739,0,2784.38,1.166233682,1.163276401,1.161391338
248,2024/2/18 0:00,2787.22,2791.63,2778.6,1.166538394,53.1669,00:00.0,148062.6958,697,40.5027,112811.8765,0,2785.1075,1.166538394,1.164875356,1.161322717
249,2024/2/18 1:00,2781.81,2797.34,2780.42,1.166755148,63.0019,00:00.0,175851.7419,793,45.1561,126027.7013,0,2785.625,1.166755148,1.166055462,1.161571932
250,2024/2/18 2:00,2781.79,2784.34,2765.93,1.162291269,113.1037,00:00.0,314088.4184,1453,90.7075,251852.5473,0,2774.9675,1.162291269,1.166830122,1.161864637
251,2024/2/18 3:00,2766.69,2782.34,2765.99,1.162028442,82.184,00:00.0,227813.7591,978,72.6203,201312.5024,0,2774.34,1.162028442,1.165822582,1.1617327
252,2024/2/18 4:00,2779.38,2797.82,2779.38,1.167897558,69.1831,00:00.0,193052.6865,934,51.0164,142310.8702,0,2788.3525,1.167897558,1.164769387,1.160936573
253,2024/2/18 5:00,2796.36,2804.71,2794.72,1.172702799,66.1275,00:00.0,185104.0839,1016,59.012,165172.3195,0,2799.825,1.172702799,1.165102162,1.16158153
254,2024/2/18 6:00,2802.88,2795.11,2782.21,1.169377141,127.2383,00:00.0,355706.3387,1682,107.7915,301401.0184,0,2791.885,1.169377141,1.166335043,1.162555703
255,2024/2/18 7:00,2786.99,2883.44,2734.44,1.17306615,172.8291,00:00.0,482989.768,2325,127.4884,356397.6051,0,2800.6925,1.17306615,1.166859442,1.163940835
256,2024/2/18 8:00,2797.89,2805.83,2796.67,1.173427407,77.9717,00:00.0,218373.6603,1040,69.7619,195383.6273,0,2801.555,1.173427407,1.169014418,1.16529567
257,2024/2/18 9:00,2805.52,2822,2805.28,1.177930029,107.0466,00:00.0,301381.9279,1372,68.1185,191751.1199,0,2812.305,1.177930029,1.171294211,1.166446666
258,2024/2/18 10:00,2816.55,2822.82,2808.72,1.178757255,75.1717,00:00.0,211611.2506,968,61.5097,173158.6108,0,2814.28,1.178757255,1.173300705,1.167759408
259,2024/2/18 11:00,2809.01,2810.65,2794.89,1.174720602,65.0346,00:00.0,182340.6186,846,50.6284,141963.9423,0,2804.6425,1.174720602,1.174511596,1.168967367
260,2024/2/18 12:00,2802.02,2807.64,2793.18,1.172714317,68.1746,00:00.0,190976.6738,885,57.0112,159713.2708,0,2799.8525,1.172714317,1.175580289,1.169756618
261,2024/2/18 13:00,2796.92,2797.8,2787.95,1.170070335,106.3051,00:00.0,296992.1869,1451,76.1915,212872.5381,0,2793.54,1.170070335,1.175509922,1.170115641
262,2024/2/18 14:00,2789.1,2813.19,2785.9,1.172542589,118.5232,00:00.0,331645.7626,2371,95.3241,266713.8773,0,2799.4425,1.172542589,1.174838508,1.170300702
263,2024/2/18 15:00,2809.29,2809.95,2801.36,1.175271388,124.635,00:00.0,349621.2872,2595,100.9931,283300.7253,0,2805.9575,1.175271388,1.17376102,1.170721296
264,2024/2/18 16:00,2803.23,2801.83,2752.5,1.16837714,133.6534,00:00.0,377677.6288,1877,96.4725,273588.4499,0,2789.4975,1.16837714,1.173063846,1.171303495
265,2024/2/18 17:00,2799.28,2821.8,2796.87,1.175756205,150.8799,00:00.0,424665.8583,1787,97.6567,274723.6645,0,2807.115,1.175756205,1.171795154,1.171411628
266,2024/2/18 18:00,2809.02,2832.2,2807.2,1.181022179,116.0957,00:00.0,326946.9887,1526,97.4653,274457.6496,0,2819.6875,1.181022179,1.172403531,1.17230929
267,2024/2/18 19:00,2830.65,2840.8,2822.3,1.18589653,140.1711,00:00.0,396853.5843,1848,112.2942,317905.369,0,2831.325,1.18589653,1.1745939,1.17357554
268,2024/2/18 20:00,2831.24,2832.87,2817.1,1.184162497,105.6669,00:00.0,298427.7835,1396,88.5592,250110.6918,0,2827.185,1.184162497,1.177264688,1.174775471
269,2024/2/18 21:00,2827.53,2846.94,2823.21,1.187648364,119.1265,00:00.0,337764.9451,1565,94.1535,266964.1826,0,2835.5075,1.187648364,1.17904291,1.175539451
270,2024/2/18 22:00,2844.34,2862.12,2840.42,1.196522719,178.0373,00:00.0,511794.3665,2419,129.4668,372273.5759,0,2856.695,1.196522719,1.182897155,1.176757532
271,2024/2/18 23:00,2879.9,2937.14,2865.93,1.210063047,224.3855,00:00.0,646638.5204,3039,172.8856,498183.2292,0,2889.0225,1.210063047,1.187050458,1.178321304
272,2024/2/19 0:00,2873.21,2892.63,2867.28,1.205182414,190.195,00:00.0,547753.8399,2366,129.9242,373950.123,0,2877.37,1.205182414,1.192858631,1.18076368
273,2024/2/19 1:00,2876.4,2876.48,2857.11,1.201700735,134.8195,00:00.0,386291.0761,1657,103.2204,295687.1684,0,2869.0575,1.201700735,1.196715808,1.182580505
274,2024/2/19 2:00,2865.6,2889.47,2865.22,1.204704926,127.6458,00:00.0,367270.4446,1607,105.4918,303443.1103,0,2876.23,1.204704926,1.200223456,1.184110071
275,2024/2/19 3:00,2884.58,2889.35,2877.07,1.208129014,198.9883,00:00.0,574044.5595,2809,98.3845,283690.7815,0,2884.405,1.208129014,1.203634768,1.186109026
276,2024/2/19 4:00,2886.15,2899.8,2880.85,1.210362524,140.5516,00:00.0,406392.3419,2186,102.3282,295789.4475,0,2889.7375,1.210362524,1.205956027,1.188470005
277,2024/2/19 5:00,2892.15,2908.13,2883.54,1.213818025,285.5016,00:00.0,825114.8155,3671,216.6122,625797.1609,0,2897.9875,1.213818025,1.206015923,1.191156151
278,2024/2/19 6:00,2906.4,2926.02,2904.17,1.220657823,211.8142,00:00.0,617722.9412,2598,171.1774,499207.4415,0,2914.3175,1.220657823,1.207743045,1.193907847
279,2024/2/19 7:00,2919.71,2937.14,2918.22,1.225180341,144.749,00:00.0,423001.6267,1789,126.3268,369159.3179,0,2925.115,1.225180341,1.211534462,1.196933609
280,2024/2/19 8:00,2925.39,2928.26,2903.55,1.221024315,175.688,00:00.0,512510.983,2050,122.3534,356739.9128,0,2915.1925,1.221024315,1.215629545,1.200720489
281,2024/2/19 9:00,2903.21,2920.25,2902.27,1.219233737,135.4334,00:00.0,394134.7956,1724,112.0063,325922.8574,0,2910.9175,1.219233737,1.218208605,1.203738363
282,2024/2/19 10:00,2917.94,2917.96,2892.56,1.218983475,136.1971,00:00.0,396085.726,1857,110.975,322710.2342,0,2910.32,1.218983475,1.219982848,1.206285801
283,2024/2/19 11:00,2912.69,2916.53,2905.58,1.219913319,78.4329,00:00.0,228414.4367,1070,60.9522,177507.5123,0,2912.54,1.219913319,1.221015938,1.208491597
284,2024/2/19 12:00,2915.32,2916.08,2906.23,1.22007667,91.2612,00:00.0,265645.0211,1231,71.5959,208389.1375,0,2912.93,1.22007667,1.220867038,1.210874985
285,2024/2/19 13:00,2914.21,2918.76,2897.32,1.217815935,126.632,00:00.0,367850.4624,1758,104.3364,303097.9074,0,2907.5325,1.217815935,1.219846304,1.213036872
286,2024/2/19 14:00,2899.61,2907.02,2890.99,1.214803366,116.8964,00:00.0,338960.4726,1596,91.3194,264817.8677,0,2900.34,1.214803366,1.219204627,1.21445642
287,2024/2/19 15:00,2903.74,2911.98,2898.47,1.21666096,110.5898,00:00.0,321098.4465,1520,89.0478,258531.8945,0,2904.775,1.21666096,1.218318553,1.214772441
288,2024/2/19 16:00,2904.89,2936,2901.05,1.219705989,136.5628,00:00.0,398143.909,1880,111.55,325165.6618,0,2912.045,1.219705989,1.21785405,1.215537678
